id,书名,章节次序,篇部,章节名称,内容,编辑状态,责任编辑,作者,摘要,备注,更新时间,updatetime,操作人
2,中国移动互联网发展报告-2015- (2),1,综合篇- (2),移动互联网发展的社会影响,,提纲修改- (2),高春梅- (8),胡泳- (12),,,2014-12-05 11:21:18,2014-12-05 11:21:18,0
10,中国移动互联网发展报告-2015- (2),2,综合篇- (2),移动媒体的未来趋势,,等待作者初稿- (3),高春梅- (8),彭兰- (14),,,2014-12-05 11:16:17,2014-12-05 11:16:17,0
11,中国移动互联网发展报告-2015- (2),20,专题篇- (5),2014年中国媒体移动化发展指数报告,,等待提纲- (1),王培志- (6)_李黎丹- (9),王海燕- (16)_王培志- (15)_李黎丹- (13),,,2014-12-08 08:57:11,2014-12-08 08:57:11,0
3,中国移动互联网发展报告-2015- (2),3,综合篇- (2),移动互联网与信息安全,2014十大动向综合版.docx,等待提纲- (1),王培志- (6),魏亮- (26),,,2014-12-19 08:27:59,2014-12-19 08:27:59,0
25,中国移动互联网发展报告-2015- (2),0,产业篇- (3),2014年中国移动互联网产业格局及发展趋势,,等待提纲- (1),王培志- (6),阮京文- (28),,,2014-12-19 08:44:15,2014-12-19 08:44:15,0
26,中国移动互联网发展报告-2015- (2),0,产业篇- (3),中国移动智能终端变革与发展趋势,,等待提纲- (1),王培志- (6),杨希- (27),,,2014-12-19 08:45:53,2014-12-19 08:45:53,0
27,中国移动互联网发展报告-2015- (2),0,专题篇- (5),2014新闻客户端市场与用户分析,,等待提纲- (1),王培志- (6),丁道师- (29),,,2014-12-19 08:47:31,2014-12-19 08:47:31,0
28,中国移动互联网发展报告-2015- (2),0,专题篇- (5),走出去：华为的移动大战略,,等待提纲- (1),王培志- (6),张意轩- (30),,,2014-12-19 08:49:04,2014-12-19 08:49:04,0
29,中国移动互联网发展报告-2015- (2),0,产业篇- (3),4G网络基础设施的发展及数据流量经营,,等待提纲- (1),王培志- (6),潘峰- (31),,,2014-12-19 08:51:18,2014-12-19 08:51:18,0
8,中国移动互联网发展报告-2015- (2),26,专题篇- (5),4G时代移动视频的发展,4G时代移动视频的发展-提纲2014-12-02.docx,等待作者初稿- (3),李黎丹- (9),张凌- (10),,,2014-12-10 13:51:44,2014-12-10 13:51:44,0
9,中国移动互联网发展报告-2015- (2),22,专题篇- (5),基于移动数据的用户行为分析,人民网2015蓝皮书提纲-基于移动数据的用户行为分析（初稿11.19）.doc,提纲修改- (2),李黎丹- (9),任明远- (11),,,2014-12-05 10:47:04,2014-12-05 10:47:04,0
12,中国移动互联网发展报告-2015- (2),11,市场篇- (4),移动社交发展分析,分析移动社交的发展情况,提纲修改- (2),张春贵- (2),匡文波- (17),<p><span style="font-size:16px;font-family:宋体">移动社交的宏观数据分析，包括手机、移动端数量、移动用户数量及使用习惯等</span><span style="font-size:16px">;</span><span style="font-size:16px;font-family:宋体">对移动社交产品市场格局分析，包括现有社交网络产品的数量、分类等。移动互联时代的新品与传统社交产品的移动转型。主流的移动社交产品发展情况；移动社交的微观经营与移动社交的宏观,,2014-12-09 09:55:23,2014-12-09 09:55:23,0
13,中国移动互联网发展报告-2015- (2),22,专题篇- (5),青少年群体的移动生活,当代少年儿童与移动互联网写作提纲（20141202）.doc,等待作者初稿- (3),张春贵- (2),陈卫东- (18),<p><span style="font-size:16px;font-family:宋体">新一代人是刷屏的一代、移动化获取信息的一代，移动互联将对少年儿童的学习、生活将带来何种影响，如何认识、看待它，学校教育、家庭教育等需做哪些调整或改变；从移动互联网对少年儿童的影响看未来，对文化的传承、社会发展，政府、社会应该怎么做才合适？</span></p><p><br/></p>,,2014-12-10 15:33:46,2014-12-10 15:33:46,0
1,中国移动互联网发展报告-2015- (2),5,综合篇- (2),中国移动互联网的技术创新,中国移动互联网的技术创新.提纲.20141201.docx_中国移动互联网的技术创新.docx,等待作者初稿- (3),刘振兴- (1),许志远- (3),,,2014-12-01 09:22:56,2014-12-01 09:22:56,0
4,中国移动互联网发展报告-2015- (2),12,产业篇- (3),移动互联网的企业级应用发展情况,,等待提纲- (1),刘振兴- (1),刘振兴- (9)_王斌- (20),,,2014-12-09 09:53:29,2014-12-09 09:53:29,0
5,中国移动互联网发展报告-2015- (2),19,市场篇- (4),面向移动开发者的服务及平台,2014中国移动开发者的服务工具和平台发展情况报告.20141120.iimedia.docx,提纲修改- (2),刘振兴- (1),汪洪栋- (6),,,2014-12-01 09:57:12,2014-12-01 09:57:12,0
6,中国移动互联网发展报告-2015- (2),24,专题篇- (5),人工智能在移动互联网的应用,提纲.人工智能在移动互联网上的应用.v1.2.doc_提纲.人工智能在移动互联网上的应用.v1.docx,等待作者初稿- (3),刘振兴- (1),谢文砚- (5)_张益肇- (4),,,2014-12-02 08:19:47,2014-12-02 08:19:47,0
14,中国移动互联网发展报告-2015- (2),7,产业篇- (3),产业互联网的动向和趋势,,提纲修改- (2),刘扬- (5),顾强- (23),,,2014-12-19 08:47:09,2014-12-19 08:47:09,0
